ResponseID,likelihood to recommend,reasons for score
R_54ROjbKuG5dYRmJ,10,"""It's easy to use and very versitile.  There is so much you can do, and ways you can report the results."""
R_bJwGUrQJBEMWNil,5,
R_b139VB8G4DpP9EV,9,"""Nice&easy tool / good relation with account manager / good, fast help from helpdesk"""
R_3n2FC2Ddiw6Etvf,7,
R_4YOhIURKj7mnxgV,6,ease of use and support
R_3K6mdiuA0UtU1JH,7,"""Easy to use & sophisticated functionality, but a bit expensive for smaller businesses."""
R_6sUg9YGTiy2d7PT,9,"""Capabilities of the 360 tool / Methods, availability and helpfulness of training staff"""
R_cHXjNvixjKLQikR,7,
R_4Mmgorp0zinR7UN,5,can't produce cross tabs.
R_6XMzpJbPZTkeGnX,10,Combination of extensive functionality and ease-of-use.
R_809FxSvJvC7xJTT,10,Qualtrics in an extremely powerful tool that I use almost everyday. It is the best of any online survey creation program I have ever used.
R_8BniGdonxXQKoeN,10,"""Fantastic support services, great response time, terrific expertise even with squirrly requests, and a delightful product."""
R_9M3kzS8aYkVSL8p,9,the comprehensive abilities of qualtrics surveys
R_5aRCduxS8Q0dsHP,8,Professional system with lots of possibilities and at the same time transparant to use for a novice user.
R_5C5d8HVPfnYZF1b,8,The best survey package around
R_0jGX6GxUGm1g0sd,10,"""Credible, easy and convenient to use"""
R_8ko4l4c4u3gsM4J,10,"""Look and feel, personal service"""
R_6RIL9LdTLH5PtFH,7,"""The software is useful but is harder to use than, say, Survey Monkey."""
R_cU9of261tfNYwaF,5,At the moment we are having issues with the tool and have some clear improvement areas for you to look at. We have a dialogue with the support team but we are not sure how our issues are handled and when some of the development points will be taken care of.
R_3TQA0Ct6lsotfr7,10,It is a great tool for data collection.
R_3q0lCt5V9QFsBM1,10,Quality of product.  Dependable support.  Frequent updates and improvements.  Successful company that seems dedicated to its product.
R_9X1cRltiAiWMzbf,10,"""Easy-to-use, affordable, Survey Monkey on steroids"""
R_1yHw0K4P26jUBVj,10,Very robust survey product.  Can meet the needs of an organization with different levels of user expertise.
R_egrIid6B8e9DOGp,1,"""I'm not getting the level of help and customer service I was expecting when I started with Qualtrics. Currently working with one of your support people (SANITIZED) and I'm not getting called back, not getting timely responses, etc.  I need help (ASAP) and even though I'm told I'll hear back as soon as he gets off the phone, .. after several hours, I do not hear anything, from anyone.  Not happy."""
R_ac9cL9o9iHAEHwp,10,"""While not perfect, it does a great job of meeting our needs in a cost-effective manner."""
R_cHKAzCgrRJgVJcN,10,Ease of use in building the survey / Features available for question and survey structures
R_eINEZbTevvL1xfT,7,"""Strong program. Fairly easy to use, but the support materials could be improved."""
R_cuVTZY93arPZzI9,10,"""Amazing product features enabling me to do just about anything I want to a survey, great training and terrific customer service."""
R_8uMMzL4zCXds2r3,5,recently you have made some changes that make sharing surveys & collaborating difficult. It doesn't work..... also the design elements aren't as flexible as I'd like them to be.
R_1A220bg1XhDfvPT,8,"""Easy to use, good support"""
R_3BCqnKPwEee0WgZ,9,userfriendlyness and rich feature set.
R_8oUuh9HAhc6PzSd,10,You do all the basics well and you have some nice features that I would hope for but wouldn't expect.
R_03p0svy0XP8951X,8,You have a very good product and the service has been excellent.  I would like to see some improvement in reporting and some of the brand admin functionality.
R_6tUznchRQZDMHnD,9,
R_bflGZPFkPSAjBVr,10,"""Qualtrics is extremely powerful, yet the interface is extremely user friendly. That's a rare thing in web interfaces."""
R_bpfyE2BB4k9J9Vr,10,Ease of learning; ease of use; myriad of question types; email feature
R_cJ96qE28SDsXBBz,8,Y'all are very responsive and the software is intuitive
R_doL75E6p2oS5JpH,8,#NAME?
R_1Huk6cnHG8Rm1z7,0,
R_9FeWNpPgOTDtTtH,10,"""As brand administrator, it is easy to set up users, the service is first-rate."""
R_3eYGUmYCLYZ20Sx,10,"""Qualtrics is easy to learn and use, but also flexible enough to meet almost any need."""
R_3P2ogVzUOkiGXTD,9,"""reliable, flexible, powerful service.  nice folks"""
R_eJLM66yuBHXhEHz,9,Easy to use survey system and good customer service.
R_9ZYZc8qC9aCCebz,7,"""We have been working with both the Research and the 360 Suite, both are good to great platforms. /  / However, we encountered a number of substantial issues in particular: / - It has been difficult and often frustrating to work with the 360 suite, as there suite has not been a dependable service. / - Even though support latency has greatly improved over the past year, we often had the feeling that support is only able to answer the most basic questions. Many questions to support@qualtrics have either not been answered or the answer was completely missing the question. It would be great to have support for more advanced problem/questions. /  / However, we very much believe that you guys will keep on improving and we have seen improvement over the past montsh, in particular with the 360 Suite, so keep up the good work! :-)"""
R_4G71QizvD0ehn9j,10,"""Top notch customer service. Sure, it is a good tool, and while that is a also a differentiator, customer service is where Qualtrics appear to excel."""
R_0OqE06srjWar2CN,10,The automatic functions that send reminders only to those who haven't taken the survey.
R_cwtcl4PGrHlXDrT,8,Cost is really high but there is great customer support and very user friendly.
R_e8RR0yCLWy2XiVn,10,Survey engine and question types that show significant appreciation of the science of online surveying. Excellent customer support - anything that I have needed answers on I have been able to get very quickly. All around superior product compared to everything else in the marketplace.
R_5cMIMhWrPD62Isd,8,We need more training!
R_bvCAjg6nDrNbVfn,6,User-friendly
R_00L3hJTpzlszP8N,8,"""We do love the flexibility that Qualtrics has given us to reach consumers directly, but there are a few wish fors that the system doesn't have."""
R_d5dkVbBEy2AxxSB,9,Useful and easy
R_9oatRcUKsGB2KXP,8,Ease of use. Availability. Accessibility.
R_3mCXBpPtdW0nNDT,9,"""good product, good customer service, research heritage (v. technology)"""
R_9YPx4ei8sdThkaN,10,continues to exceed expectations
R_8CwtDZF1Oe4XXiR,10,
R_1HyP8BmLd2fdW9n,10,Your survey tool is awesome and your call in customer service is second to none. I know that it is likely a huge challenge to maintain the level of phone support you provide but please don't ever change that.
R_2iaABAYl3dAbvKd,7,not as user friendly
R_0881dnOnUm4S937,9,"""Qualtrics' Support/Customer service is what really sets you apart from the competition.  Anytime we need assistance our Account Manager, SANITIZED is very responsive and if he does not know the answer he gets someone who does."""
R_afyeFo7ITpGBKCN,8,
R_0vyhTto6LgSZUpf,9,"""ease of use, great customer service"""
R_eVSppPdCzs1g2m9,8,Good survey tools and relatively easy to use. Customer service is sometimes a little slow but they are always informative and helpful. The conjoint analysis aspect of the survey tool is a bit awkward but usable.
R_es01CtY9plwrMxL,10,The software is very intuitive to use--takes very little training--and has the power and flexibility to do almost anything we need to do.
R_2ruJEqcxBwkRR4h,8,I've been happy with the tool
R_4Geagy2oZtQUZ4F,9,"""Qualtrics offers us the survey capabilities that we need. And, we are excited about all the new programs and services announced at the summit. These improvements were/are needed and will definitely be utilized. As a result, we won't have to look for outside vendors to accomplish the tasks that Q previously could not address."""
R_2ujiVa5KQD9kKuF,10,Ease of use but sophistication of survey tool for more complex surveys
R_3Xn5N3rF5aEW1VP,10,Intuitive tool and great customer service
R_6upVw6eVPtmfdit,7,
R_6R0lqhloQjq9dcx,9,It is a great package.
R_0vpkCO6HY2Onk57,10,"""Ease of use, Qualtrics' engagement with the user community and the dedicated help desk."""
R_ex5QQowy2KpsEBL,10,I love the software and your people
R_bPGJmPW1yUDrDsV,7,
R_eDqo8tDTzYxAp4F,6,Your pricing model based on the number of respondents is not a good model for us because of the amount of screenouts we have.
R_8A193ZLDLQb1jPD,10,Helpful customer service and easy to use software
R_9SU7QMmSb57GoDz,10,1) Outstanding reporting tools / 2) Responsive phone support / 3) Ability to create complex surveys with ease
R_38XNZGo6FMXdgPj,8,"""Good tool, good reporting, good service.  we don't use all the functionality you all provide so can't rank it all"""
R_38bAQ6TqvnlWvGJ,10,"""It's versatile, easy to use (very friendly), service is excellent."""
R_e4X0pWxLf9lIu6V,9,
R_8xp9CbcOlKqMZvv,10,Use it on a regular basis and their is really not alternative.
R_1YMXfWbq2nPRCmx,8,platform capabilities are excellent
R_a2DbBKF2DbeIaG1,8,"""We have only purchased and started using Qualtrics in December 2013, so I have not had a large amount of experience.  So far, it is going well and I am happy with it."""
R_2cucq1LXPS1NpEp,8,"""I really like Qualtrics, but couldn't find rigth support to programm a very difficult questionaire my team did it once"""
R_cA4TXz1smzTIe7r,7,"""I've used just about every web survey tool; although it has drawbacks, Qualtrics meets our needs the most."""
R_b91s1wRFq10LQB7,9,
R_82fdqmTS5KQdSx7,8,
R_5nJm9Ows5nPlJrf,8,Seems to be lots of potential in creating and managing surveys that meet our many needs efficiently
R_42ZqsrJwfCeage1,9,"""Service, ease of use, top quality"""
R_4OWkLQMYHszLgRD,8,"""Functionality is great; intuitive interface; meets all business needs. Support, whilst always helpful is very difficult to get through wen timing is critical."""
R_6oiyLq6Zreu9vnf,7,"""At first it seems very easy to use, however customising little bits of the user interface/functionality starts to become quite difficult and time consuming."""
R_0PahPj87KuGbT3n,9,We're very happy with Qualtrics.  We have requested some additional features in question design that we were hoping would become available but they have not yet been released.
R_6Rm4chFNmG6pA9v,9,"""useful tools to collect good information and improve research efficiency, helpful team"""
R_7P2XG4Fma9S5qOp,7,"""Easy to use, may not be able to handle more complicated surveys."""
R_4YqqeJ6MsMNnoLr,7,"""easr of use, comprehensive options"""
R_5ssmWCNljbzru6h,10,"""Customer Service / Quality of product / Always expanding products and keeping clients informed of changes, additions, update, etc."""
R_4URs105f6RbvyPX,8,"""Great tech implementation, plus continued progress in offline iPad app."""
R_8GF7iRysgm7HPtb,10,Comprehensive package of managment tools.
R_5p3LPZVzsJNCrxb,6,Cost of entry into your system.
R_6ET5EngMeN0Xl9H,10,"""It's really easy to use, lots of options, survey's look great, and service is excellent!"""
R_4PchqYaBiYClXRX,9,The tool is very useful. / Easy (maybe too easy to build) surveys.  The danger is creating the false impression of expertise!
R_5q1FigSK7zUCwct,10,"""Great tool, easy to use, advanced logic"""
R_bar3h5S4XZP43Jj,10,Easy access and assistance
R_9ZvU7ediHZP5n6Z,10,"""Love the tool, all the features and the robustness. I also LOVE the support, they are the best support I've ever used and are always so helpful, professional, and courteous! Kudos to them!"""
R_9uD3XpyMNS6HwtD,5,Because it's good but there are other good programs
R_dmwleNd9ypGBTsV,10,"""advanced functionality; quality customer service (quick response time, live person available to answer questions)"""
R_553GWfb5z4BMQ3r,6,"""The system is extremely excellent, but your customer support brought my rating down. My last call to customer support took 5 hours to get a return phone call. My last ""ticket"" (sent online) took over a week to get a response. I first started subscribing to Qualtrics in the corporate world (I signed contracts with you when I was at SANITIZED and SANITIZED). Support there was excellent. I understand from my former-SANITIZED colleagues that it's still excellent. Seems like you're prioritizing Academic (University licenses) support lower than corporate customers. That's probably a good decision on your part from a business perspective (with corporate licenses costing more -- bringing you more revenue), but it's why it brought down my rating to a '6'."""
R_0N81RfXzDxfCkFn,10,
R_b9gxYXLx6EUWoO9,10,"""You guys are good at what you do. you have been very helpful right from the implementation stage. The support we recieve from you is outstanding. Your product is good, flexible and innovative."""
R_4JdS9Kluty2zILr,10,
R_cYDxM6RtRtBYRAp,10,The features of the system
R_9GIETgyVGFpWdTf,10,you're simply the best
R_8JrnrGeSbqVn1sh,10,Excellent product and great support.
R_6XnLCJ4lkn5h0Al,8,#NAME?
R_3VRjmrWLvQGvVRj,10,Quality of the application itself; and the superlative quality of your customer service.
R_er27eOX707KohBX,10,You guys do a great job delivering on what you promise. Your site is easy to use and your pricing is understandable and reasonable.
R_41NFDo3OqTPHpm5,10,"""ease of use, great data and charts"""
R_bk34XUueLz36FxP,4,
R_3vZ4m4afgkdtJDD,10,
R_dgrPevyptZ36hMN,8,
R_eDug0RXGhu95jx3,10,"""Qualtrics is very easy to use, provides a large variety of options for collecting information, makes distribution and tracking of surveys simple, and customer support is outstanding."""
R_dczXKkPZG7kB9wp,9,"""Very reliable, good service, continual improvements to the product."""
R_bw8oHvXKstoRU0t,9,"""Very good platform, user-friendly with powerful features"""
R_07ikHA4cXEDdmFD,8,Easy interface. Dynamic survey options and tools. Good customer service.
R_6tbd8m6ehb0Hp1b,9,"""Qualtrics is innovative, easy to use and works well."""
R_0j3syb377u5MAq9,8,Love the functionality and the ease of use. Would like to see you guys focus a bit more on the mobile taking survey UI and also have a better browser UI for editing.
R_d6AHAVOSHZnCQoR,8,"""Powerful features, generally reliable (much more so than a year ago), great business model and expense.  /  / To get a 10, Qualtrics would need to 1) open up API and/or ODBC access using the Qualtrics security model to relationally structured database tables (e.g., question table with one row per question per survey, respondent table with one row per respondent per survey, response table with one row per question per respondent per survey, sample table with one row per panel member per survey, etc.) and 2) increase the reliability and usability of panel triggers, email triggers and other forms of automation. Presently, panel triggers on matrix tables (a common use for us) are require extensive manual setup, don't display in order, and don't allow automatic invitations to a survey as part of the trigger. Loops should work for grids as well as for entire pages or blocks, panel triggers should be able to define one per grid with grid row variables built-in, and panel triggers should be able to fire off an instant invitation to a particular survey using a library message."""
R_5tn32Fir5OOvndb,9,Intuitive and flexible platform.  Handles 95% of my survey needs.
R_9KPK7CR45RSAUyV,9,"""Qualtrics is tool which simplifies creation and distribution of surveys and is very easy to use. However, there are areas which need improvement such as reporting capabilities(dashboards etc) and sentiment tagging options for responses which are not available out of the box. Embedded values cannot be a complete solution specially for sentiment tagging which is needed for some of our surveys."""
R_39KqizRgxJGSkOV,9,"""Great software, easy-to-use, excellent support"""
R_6DmlevagG8uka1f,7,"""Versatility of designing surveys, quick results tabulation.  Didn't give it a higher score becuase it isn't clear where my feature requests go... I've had several over the years but have yet to hear back on any of them."""
R_2009vjKFxj1uPAN,8,
R_cMjfpKG9qLUJnM1,8,"""Intuitive, easy to use, looks good, customisable, great help resources..."""
R_4HkMxBAMr94UC21,10,"""convenience, power, value"""
R_3aC233Kf3rSUpGB,9,1) the system is very flexible in terms of providing multiple methods to collect insights. 2) the company is focused on the continuous improvement of the product to ensure they are meeting the needs of their customers. 3) the company is still small enough to adapt to change and customer needs in a relatively short period of time.
R_cOqInqJgoGBJAVL,10,
R_6Jexc2oao3Xf8y1,3,"""While the interface looks nice and has many formatting options, I don't feel that the behind-the-scenes data processing is stable enough for serious researchers.  I think it's a fine product for organizations that require polling or have lighter research needs. I think sophistication is often lacking for higher-level needs, the back-end survey flow programming is more labor intensive than it should be, and the customer support isn't there."""
R_8B2rrcdTwQcikYJ,10,"""as alternative to unipark, they moved out the market in switzerland"""
R_86C48jJFlPc08Jf,10,"""functionality, support and continued updates"""
R_9nVFEjvWUE20PlP,7,
R_0kd3DoIvxkY8pxj,10,Great feature set and excellent support.
R_0euJrlYFCfNn0QB,0,Too expensive.
R_6R6HiF806kSA33L,9,
R_3KK8yLd7d5eAxMN,7,
R_7QgTwQITXXkfdOZ,9,very easy to use and simple to understand the various features
R_etlbrmH5zoIveF7,9,"""the most complete survey tool i know of, and great customer service."""
R_6QlifXRmaQCZIBn,8,intuitive to a point. Then good support when needed.
R_6Va0rLYvhOeDMKF,9,Great product- gives me the ability to be a full service market research department because I can do so much more in-house now.
R_8u1P3vOYpldqBVP,10,"""easy to handle, many options"""
R_6umE7CXZssjKVvf,10,"""Satisfactiln with features ,user friendliness,  support etc"""
R_bfoKcrvV7pBcCDr,7,The system is easy to use and allows you to create nearly anything you are in need of for a survey question.
R_88SqCuF4vV4onA1,2,"""We use the tool for bi-annual surveys and need to draw comparison from survey-to-survey period.  Needless to say, nothing is static.  If a few questions change, the system cannot accommodate without a large investment of time/money.  The committed deadlines provided by your project management are always missed.  We take surveys very serious as well and there is high visibility at executive and board levels.  2012 it was an embarrassment - every deadline was missed and no accountability on your end.  There is too much finger pointing, not enough managing expectations early in the process.  As well, we have a robust / interactive system that we use to manage / compare / report on results and it all seems to fall apart with the slightest change.   Once again this year, we were advised that our survey questions need to be reformatted for better continuity.  We didn't ask for this - apparently there were back end changes in your program.  This has already fallen off the schedule and the report on how to correct the project and bring it back on time was due yesterday - yet is still not in hand today.  Not surprising!"""
R_8CWPYVnkOqgWYIJ,9,It is as simple as a VW bug and as powerful as a Ferrari. My students use it without much training and it has proven its worth as an effective tool to advance my own academic research.
R_9yTd7BGYTuA4rnn,10,The tool is intuitive for me as the builder and the environment is appealing for my survey takers.
R_5zJtLaFrOV1Tibb,8,"""Refined tool, better security."""
R_abIPsmdr3f7wEIt,0,"""I'm a former customer. Although your software is easy for anyone with very little market research experience, I found it very limiting. Your sales person lied to me, support is horrendous and we lost data from several surveys. Your Christmas lights were colorful, I'll give you that. But it was insulting that you could add that enhancement but could fix program glitches. I go out of my way to NOT recommend you."""
R_3yn3hzfJyszpzMx,6,"""Your tech support has gone down the drain. I used to get through immediately; now I have to wait hours for a callback. Recently, I had to call every day for four days before I finally got a response."""
R_9RlUeIMIY0E7pzf,8,
R_0USeBh2BEyqxEnH,4,The tool you provide is fantastic in setting up questions for surveys but you can't get anything meaningful out of the results
R_do5fQVRmQx2O6jj,10,"""Features, Ease of use, support and video support resource."""
R_0kpeOTAwmmy0jBj,7,ease of use from researchers point of view
R_06qJAzsxGJMvqmh,8,Like it's versatility and capabilities to do complicated surveys.
R_0MrGbPWlkWHTDXn,10,"""Ease of use coupled with detailed relevant results; quality, responsive, knowledgeable support team."""
R_8xqL7h8b0Bwi4EB,10,"""clearly Qualtrics is the best in class survey provider. In terms of usability, functionality and the experience it creates for the user."""
R_2sLZuWnp6cdzV8F,10,
R_0BTvfNGpvdihHX7,9,
R_a8ypjKlxlgT1DCZ,10,"""Qualtrics has been a great partner! I have a great relationship with my account manager (SANITIZED) who not only provides good info on the Qualtrics product but every chance he gets, he provides good industry & best practices advice which is really useful to a company like us (medium size with small budgets)."""
R_aWuDGhCz6ruPC2V,8,"""The platform is extremely user friendly and intuitive, yet also very powerful."""
R_eWgh9tQIPCs4oKh,4,"""We are finding it impossible to issue invitations via your server (they are stopped by our client's software). This results in us having to use our own Outlook account to issue the invites, incurring more time, inconvenience, and potential for error. We are not especially impressed with the look of the charts either yet, so expect to continue to use Powerpoint"""
R_6SiYdfQAwZLd0dD,2,"""More expensive than other services that meet my needs, suboptimal representatives, non-obvious interface."""
R_6o3sPA5UccbeUvj,8,"""Things that are awesome: That you are continuously improving your product and adding new features, that all of your employees are super friendly and helpful (and really seem to care), and in general how easy it is to use your platform and how great the surveys look. /  / Things that make me rate an ""8"":  We moved from Verint (Vovici) to Qualtrics because we wanted to have improved reporting capabilities.  You guys are so close, but I am not thrilled with the time it takes to load my reports because the only way I can create them the way I need them to look is by using a lot of duplicate data sources.  Also, some of the reports don't quite work the way I need them to if I were to present the data the way that we do in our Excel built reports.  Aside from the reporting, I have also been disappointed that I cannot manage how often respondents are contacted across panels.  I am going to do a trial of target audience, but I truly feel that I should not have to purchase an add on to have that functionality."""
R_0p37wLfThtybPXT,8,"""Easy to use, fairly versatile"""
R_29TnQ9KN9kdLDx3,8,Ease of use. Few limitations. Good price. Good service.
R_2lRKgBEmzcLYXgp,10,Excellent service and response to system change recommendations!
R_9vK8ybfhSkXzsnr,9,It's a great program that does a terrific job.
R_0ixjYYUkfAXnfbn,8,"""The potential to discover information that will help a business succeed and grow is tremendous.  There are a couple of usability options that have been an issue for my organization and, if addressed, would make my score a 10."""
R_6ujQl4pvRkL92SN,8,To avoid being classified as a promoter or a detractor.
R_8dJuz8I4hXKW7FX,8,asdfasdf
R_2nvu6yQqpGNt2VT,8,"""Pretty happy and satisfied with Qusltrics capabilities. I do feel, however, that there are some limitations, esp when it comes to complex survey logic. For someone looking for more complex design, I may not recommend simply because their needs are different."""
R_3W7EVCGtRDx31qd,7,"""It's made my life easier, easy tool to use !"""
R_23qzqbfxvs9M7hH,8,The primary reason is due to how easy the software is to use and the real time feedback information you can acquire.
R_1YbnoIntQXMuxLv,5,"""Two things. First, the question is poorly stated. You should include 'given the opportunity' in the question because my rating is minimized because I don't always have the opportunity, which means I won't take the initiative to recommend Qualtrics. Second, assuming I have the opportunity, although I love the spirit and the intention, Qualtrics does not easily allow me to do more sophisticated programming and support is difficult to pin down."""
R_1Y74nG3jTDRIuH3,9,
R_1TwTkAN2UbxzQIB,9,The software is user-friendly. The people I work with are very responsive and easy to talk to. The software has most of the features we need to use on a daily basis. It makes my job much easier.
R_ebrpTQ74xDBK4bX,10,"""It's a great tool, more powerful and easier than the one I used before"""
R_86uc55rW8ZBt9hH,9,Easy to use / Very fast / Can be adapted to many different types of questionnaires / Can be set up to automatically run experiments / Can record hidden variables
R_5cdKwAElcIcHChn,8,Everything worked very well: the system itself and the service.
R_5zLVopKu24DyXwF,10,the ability to innovate our services
R_8GQP0joPtpARafP,7,is the user of your product
R_2i6THluEensJwEd,5,"""Qualtrics has serviced my needs by 90 percent, but not 100 percent.  And until I can rate Qualtrics 100 percent, I will not recommend--sorry."""
R_6ECcEPLyTf7VqCh,8,great customer service
R_0Tx4pN3y2x4s0Hb,9,"""Good product, have a good account rep & company heading in the right direction"""
R_bDYtVAC9fQYZfi5,8,
R_eb9L7Dm9NiLAQp7,7,Good self-administered tool. Expensive. Reporting could be better. Ability to build dashboards would be great.
R_eFAYeUxrIk2Ewsd,10,"""It's easy to use, has great functionality and seems like tech support can make just about anything work. Although there are a few things we've run across that we are limited by, it doesn't happen often."""
R_8IhnBW2CQ2yzViJ,10,"""Friendly, competent service.  The product is more robust than survey monkey and a reasonably priced."""
R_54q4KY6LL1Pnkyh,6,I have been a client for several years now and I can say I don't feel that valued.  Good system and security so the product has value.  Also service levels have been erratic.  I also am questioning the value of the products versus the cost based on competitors in the marketplace.
R_6yux57YM2FlXepn,10,Great valuew for th emoney
R_cGFxnf2yekRh69D,9,Love the customer service and support staff and the survey design. Not real happy with the panel partner transparency.
R_08sBsNSCWOgXgr3,4,
R_2tRe7O2ZoEiNks5,8,
R_8wgrxwXGDkYeLEV,10,"""Power, ease of us and educational pricing"""
R_cPa2t5M9mZokpr7,8,
R_3w5giFVG1fE1953,10,"""Easy to use, easy to learn, has extremely robust capabilities in terms of complex surveys (logic, inserting images or videos) and reporting. Love using the filter function to access reports specific to niche audiences, love having the ability to make a cross tab in seconds."""
R_4Pzr8zEnzJYEw6x,9,"""Easy to use, affordable"""
R_50A5eM3LehDz4c5,10,"""Qualtrics survey builder and customer support has been awesome. The reporting isn't ideal yet, but I know you're working on it. I have already referred many people to Qualtrics!"""
R_3TVnqlrMIePRUr3,10,It's an awesome tool....IF (big if) you can afford it.
R_e9D5MBwTIBrF5sh,9,"""It's the best survey tool on the planet!  I would've given it a ""10"", but the price for small firms like ours is very restrictive."""
R_eR1Fg4HUPiddpEV,9,great product; good customer service
R_dhDqBuuF3fLPHV3,6,"""Great tool and good tech support when needed.  However, your cost is too high considering that competitive tools can do the vast majority of the same things but for a much lesser price.  I have purchased an annual subscription to SurveyGizmo just to prevent from going over my annual Qualtrics allotment of completes.  Last time that happened, I got a hard pressure series of calls to pay up (which I ultimately did).  Still leaving a very bad taste in my mouth..."""
R_9Nf6ZjW3uYWDTH7,10,
R_7ah9qOCxe85TrSt,10,
R_3I66Lgz0QiGfRmB,9,Many features
R_08v8Rvf5bSIZWRv,6,Much more basic than i initially thought. The support is dificult to get ahold of and they know the software and not research methodology
R_5aUpZ2FO5Lxy6Ed,10,Easy to get started with.  Can go on to do some quite complex stuff
R_9yikgKDbM0LhpNb,10,"""Excellent programme - the best survey tool that I have used. Also, customer service is outstanding!"""
R_eUNTPBqvL4qj3KZ,8,"""Ease of use, advanced features available"""
R_3VQ5A416GtcBE4B,10,quality and efficiency
R_beGxc3oP5qv2cvz,10,"""Excellent service, excellent support, great software"""
R_eF0an6ti6WNYi21,8,ease of use and sometimes the unfortunate situation of students signing up for an trial account on the wrong brand.
R_8H9FLNPjJ3rM6TX,7,Set up is somewhat tricky and we are always calling for help.
R_2rDUqs9WDQWATHL,9,"""Friendly staff, great follow up, and the strength of your product's capabilities."""
R_cTsrcj53VVZUAcd,4,"""I am not finding the tool as user-friendly as I thought it would be. I have questions on how to do things and am having to create a customer support ticket nearly every time I'm in Qualtrics and trying to build a survey. When this happens I often have to wait several hours before I hear from a support person or receive answers to my questions. The answers are also hard to interpret because I can't just have a conversation with a human being. This slows the flow of my workday and is frustrating. I would greatly benefit from and appreciate a support call number I can access right away. I just came from QuestionPro and they have chat support which was phenomenal and always very responsive. This customer support issues is a primary frustration for me with the Qualtrics platform. I know the company professes to be customer-centric, but your process is not customer friendly in comparison to your competitors."""
R_1NDfJga9Apu2Cih,5,"""seems to be a great product and the service has been well in starting us but once we purchased, it became more difficult to receive support to learn how to tailor our tools to our needs. I think perhaps there are too few sales rep for the demand that exists"""
R_8371uyeqExdkufb,7,
R_eePn4t8TNQE7QVf,10,"""Customer service, attention to details, ongoing new and improved survey updates. My department uses several different vendors for various data sources and Qualtrics has the best, most available, personalized tech support."""
R_bwn42jOibFnAg4d,4,"""Well, I actually knew about qualtrics first and used it for a while, but when I wanted to escalate to more than the free version, it wasn't very easy to get a quote.  I had to call someone and te prices seemed high (basically too many variables to handle when I wanted quick service).  It was different with Surveymonkey.  I got want I wanted quickly and have been using it since, upgrading as I needed, without having to call anyone.  The information was all there on the website."""
R_42uLFXICXl1RvOl,10,Great customer service
R_74GXKth1FHxlbSJ,8,
R_54LS5BXZPsmsvPv,10,Ease of use and excellent customer support staff.
R_86ZusutH8xGARLv,9,The software is easy to use.
R_abK0r0HhHUIV4wJ,7,"""Overall, the quality of the tool is strong.  But I have increasing concern over the cost and whether the ROI is there for (even larger) non-profits like ours.."""
R_dhZ35csIEcZz8bP,9,
R_ezCd3Z9w20WjJZP,10,Because it is easy to navigate and work.
R_0cvXKfGHQCMIfiZ,8,Very easy system to use with great functionality
R_b4738kiqNY7SEtf,9,"easy to use software and very strong level of support to clients.  Not just sales pitch and then ""good luck"""
